time,Display&DV360_impression,Google_Search_impression,Meta_Ads_impression,Newspaper_impression,OOH_impression,Radio_impression,TikTok_Ads_impression,TV_&_Offline_impression,YouTube_Ads_impression,Display&DV360_spend,Google_Search_spend,Meta_Ads_spend,Newspaper_spend,OOH_spend,Radio_spend,TikTok_Ads_spend,TV_&_Offline_spend,YouTube_Ads_spend,GQV,conversions
2022-04-05,12511631,16756488,14206083,15027391,76760224,31870036,15626691.3,38244043.2,14388375.65,8.911.079.688,1.228.706.875,1.369.641.406,1.116.674.063,5.981.801.875,248328.5,1.506.605.547,297994.2,1.024.774.164,5.263.482,411695776
2022-04-12,17360364,10375189,21193138,7124868,57808752,38976104,23312451.8,46771324.8,19964418.6,1.236.446.094,7.607.839.063,2.043.279.531,5.294.435.547,450.494.375,3.036.983.438,2.247.607.484,3.644.380.126,1.421.913.008,-14.317.181,387659648
2022-04-19,4080494,18370510,9509602,974793,33523544,23562268,10460562.2,28274721.6,4692568.1,2.906.224.219,1.347.058.594,9.168.427.344,7.243.613.281,261.243.625,183.595.125,1.008.527.008,220314.15,3.342.157.852,-5.696.041,437840224
2022-04-26,7909701,27913252,21419960,0,46684136,21036800,23561956,25244160,9096156.15,5.633.475.781,2.046.801.563,2.065.148.125,0,3.638.020.313,1.639.168.906,2.271.662.938,1.967.002.687,6.478.497.148,-9.418.987,439090592
2022-05-03,20257644,38888200,4884707,5464232,68897984,41336336,5373177.7,49603603.2,23296290.6,1.442.797.188,2.851.564.063,4.709.458.984,4.060.429.297,536911,3.220.890.938,5.180.404.882,3.865.069.126,1.659.216.766,55.869.827,398970624
2022-05-10,24294858,7687753,26558400,7084090,94815136,36720048,29214240,44064057.6,27939086.7,1.730.337.188,5.637.216.406,2.560.556.875,5.264.133.594,738879.25,2.861.193.438,2.816.612.563,3.433.432.126,1.989.887.766,21.109.615,404387072
2022-05-17,23573932,22719016,34341784,8955882,75578248,26295944,37775962.4,31555132.8,27110021.8,167.899.125,1.665.922.656,3.310.970.625,6.655.048.438,588969.25,2.048.956.719,3.642.067.688,2.458.748.063,1.930.839.938,22.963.402,392051264
2022-05-24,8055875,27026676,7092835,376280,38058736,10235384,7802118.5,12282460.8,9264256.25,5.737.584.375,198.179.125,6.838.366.406,2.796.108.154,2.965.856.563,7.975.321.094,7.522.203.047,9.570.385.313,6.598.222.031,-21.600.103,433768448
2022-05-31,6713915,28780088,20740160,3141764,56567724,36033136,22814176,43239763.2,7721002.25,4.781.808.984,2.110.364.219,1.999.606.875,2.334.621.094,440823.25,2.807.670.313,2.199.567.563,3.369.204.376,5.499.080.332,21.768.913,395985312
2022-06-07,28918084,25946246,26565046,7624302,90121648,32941154,29221550.6,39529384.8,33255796.6,2.059.614.219,190.256.625,256119.75,5.665.561.328,702.303.625,2.566.745.625,281.731.725,308.009.475,2.368.556.352,-68.363.557,428536480
2022-06-14,18784296,29024816,15781614,6489863,64598080,54502040,17359775.4,65402448,21601940.4,1.337.861.875,2.128.309.531,1.521.542.031,4.822.567.969,5.034.025.625,4.246.750.938,1.673.696.234,5.096.101.126,1.538.541.156,-16.715.084,379184352
2022-06-21,12339584,38099432,23515584,3657618,47386308,35837256,25867142.4,43004707.2,14190521.6,8.788.542.969,2.793.725.938,2.267.191.875,2.717.948.242,3.692.739.375,2.792.407.188,2.493.911.063,3.350.888.626,1.010.682.441,16.752.012,393646208
2022-06-28,25468648,29628092,14107558,11653333,77982672,47587216,15518313.8,57104659.2,29288945.2,1.813.937.344,2.172.545.938,1.360.142.344,8.659.503.906,607706.5,370.795.375,1.496.156.578,444954.45,2.086.027.946,13.767.681,357142080
2022-07-05,33235190,33946796,13279980,6341618,68614168,48322244,14607978,57986692.8,38220468.5,236.708.875,2.489.224.531,1.280.353.594,4.712.408.594,5.346.993.125,3.765.226.563,1.408.388.953,4.518.271.876,2.722.152.063,28.638.868,418816672
2022-07-12,4090087,18009128,9362647,1359074,37836624,20291788,10298911.7,24350145.6,4703600.05,2.913.056.641,1.320.559.375,9.026.744.531,1.009.917.676,294854.75,1.581.118.125,9.929.418.984,189.734.175,3.350.015.137,-39.979.168,415547552
2022-07-19,3182931,6964611,14230343,750206,43763392,24085832,15653377.3,28902998.4,3660370.65,2.266.958.594,510.695.625,1.371.980.313,5.574.724.609,341.041.125,1.876.746.563,1.509.178.344,2.252.095.876,2.607.002.383,-32.211.338,415660064
2022-07-26,22068976,12855972,34907024,11603802,46718252,37858512,38397726.4,45430214.4,25379322.4,1.571.804.688,9.426.928.906,3.365.467.188,8.622.697.656,3.640.679.063,2.949.901.875,3.702.013.907,353.988.225,1.807.575.391,-46.819.473,409616544
2022-08-02,17381132,24123508,23505728,18877442,60123112,36259032,25856300.8,43510838.4,19988301.8,1.237.925.313,176891,2.266.241.719,1.402.768.438,4.685.298.125,2.825.271.875,2.492.865.891,339.032.625,142.361.411,-13.513.439,364261568
2022-08-09,13128744,54470436,13606890,15488832,108091880,35915416,14967579,43098499.2,15098055.6,9.350.601.563,399.416.625,1.311.871.719,1.150.963.359,8.423.428.125,279849.75,1.443.058.891,335819.7,107.531.918,13.916.221,369517120
2022-08-16,9876712,15353880,13385169,429554,63510116,24464296,14723685.9,29357155.2,11358218.8,7.034.428.125,112585.75,1.290.495.078,3.191.983.154,4.949.241.875,1.906.236.406,1.419.544.586,2.287.483.687,8.089.592.344,-16.188.688,448275456
2022-08-23,13139519,28220544,29176668,615208,72291304,41703408,32094334.8,50044089.6,15110446.85,9.358.275.781,2.069.334.375,2.812.990.313,4.571.563.965,563.354.625,324949.25,3.094.289.344,389939.1,1.076.201.715,1.059.182,362465664
2022-08-30,54524860,47410108,41030768,44891840,135600448,72948824,45133844.8,87538588.8,62703589,3.883.389.375,3.476.451.875,395.587.125,333.587.875,1056712.75,5.684.108.125,4.351.458.375,682.092.975,4.465.897.781,41.128.555,370611424
2022-09-06,9054696,21969688,23041884,1917959,50972968,25138364,25346072.4,30166036.8,10412900.4,644.896.875,1.610.976.406,2.221.521.406,1.425.220.801,3.972.241.875,1.958.759.063,2.443.673.547,2.350.510.876,7.416.314.063,-19.885.592,439771328
2022-09-13,1814816,25894292,27651528,18743546,92301232,53547264,30416680.8,64256716.8,2087038.4,1.292.554.883,1.898.756.719,2.665.947.813,139.281.875,7.192.888.125,4.172.355.313,2.932.542.594,5.006.826.376,1.486.438.115,-25.909.412,409001632
2022-09-20,22373208,23410196,18885908,3487828,80569712,38182568,20774498.8,45819081.6,25729189.2,1.593.472.813,1.716.604.844,1.820.834.219,2.591.778.516,6.278.669.375,2.975.151.875,2.002.917.641,357.018.225,1.832.493.735,61.235.876,380875520
2022-09-27,16159378,22217252,20598748,5042933,51189968,55997136,22658622.8,67196563.2,18583284.7,1.150.909.063,1.629.129.531,1.985.972.813,3.747.365.625,3.989.152.813,436324.75,2.184.570.094,523589.7,1.323.545.422,-78.561.144,413250080
2022-10-04,27541462,45423016,21169264,13171322,92841472,47475400,23286190.4,56970480,31672681.3,1.961.567.969,3.330.744.063,2.040.977.813,9.787.509.375,723498.75,369.924.125,2.245.075.594,443908.95,2.255.803.164,-17.960.165,407499520
2022-10-11,33541636,55777276,45672048,19244224,103797064,73534208,50239252.8,88241049.6,38572881.4,2.388.914.688,4.089.993.438,4.403.347.813,143.002.375,808874,5.729.720.625,4.843.682.594,687.566.475,2.747.251.891,29.864.506,404942688
2022-10-18,19630044,45041748,18427570,25170672,81045016,24276508,20270327,29131809.6,22574550.6,1.398.098.125,3.302.786.563,1.776.644.688,1.870.413.594,631.570.875,1.891.604.063,1.954.309.157,2.269.924.876,1.607.812.844,536.364,358461312
2022-10-25,16064437,27840688,22527540,3098017,64611912,53374876,24780294,64049851.2,18474102.55,1.144.147.188,2.041.480.625,2.171.932.344,2.302.113.086,5.035.103.125,4.158.923.125,2.389.125.578,499.070.775,1.315.769.266,-14.967.537,379113984
2022-11-01,8534959,40108380,11329542,1557755,67102944,17399562,12462496.2,20879474.4,9815202.85,6.078.799.609,2.941.036.563,1.092.307.422,1.157.555.957,5.229.225.625,1.355.758.438,1.201.538.164,1.626.910.126,699.061.955,-3.682.958,373319392
2022-11-08,31115704,36169680,12953352,16068299,92884328,47120132,14248687.2,56544158.4,35783059.6,2.216.134.063,265222.25,1.248.862.656,1.194.023.125,723832.75,3.671.559.063,1.373.748.922,4.405.870.876,2.548.554.172,125.128.355,376140064
2022-11-15,44070264,37882140,35837816,14498986,105625120,34261504,39421597.6,41113804.8,50680803.6,3.138.788.438,277779.25,3.455.207.188,1.077.408.672,823119.75,266.962.625,3.800.727.907,320355.15,3.609.606.704,20.289.494,417934976
2022-11-22,59582200,62389096,51278244,38905392,138742320,77229384,56406068.4,92675260.8,68519530,424358.5,4.574.819.688,4.943.854.375,2.891.030.313,1081196.75,601764.5,5.438.239.813,722117.4,488.012.275,23.857.412,432121440
2022-11-29,27202128,32229242,12275771,11235071,77269392,36722016,13503348.1,44066419.2,31282447.2,1.937.399.688,2.363.281.094,1.183.535.469,8.348.696.094,6.021.480.625,2.861.346.875,1.301.889.016,343.361.625,2.228.009.641,-13.145.798,434410272
2022-12-06,12724523,36088928,15643566,12106333,55455784,49916360,17207922.6,59899632,14633201.45,9.062.705.469,264.630.125,1.508.232.344,89961.25,4.321.580.625,388.943.875,1.659.055.578,466732.65,1.042.211.129,15.075.059,358719360
2022-12-13,52494676,52320508,43026032,20268716,117828488,56090480,47328635.2,67308576,60368877.4,3.738.794.688,3.836.518.125,4.148.239.375,1.506.152.969,918.218.625,4.370.520.625,4.563.063.313,524.462.475,4.299.613.891,49.870.937,407049376
2022-12-20,19999740,34641420,19732192,3799826,77598848,23329872,21705411.2,27995846.4,22999701,1.424.428.594,2.540.159.531,1.902.426.406,2.823.621.875,604715.5,1.817.842.969,2.092.669.047,2.181.411.563,1.638.092.883,-14.291.459,438124064
2022-12-27,26350388,56248748,10299801,6130184,68194200,48584080,11329781.1,58300896,30302946.2,1.876.736.719,412456.5,9.930.276.563,4.555.293.359,5.314.265.625,378.562.875,1.092.330.422,454275.45,2.158.247.227,457.149,425296896
2023-01-03,26436112,25396596,32624520,11558784,76474544,64746564,35886972,77695876.8,30401528.8,1.882.842.344,1.862.262.031,3.145.405.625,8.589.245.313,5.959.539.375,504499.5,3.459.946.188,605399.4,2.165.268.696,23.854.709,386151936
2023-01-10,9234494,33980064,14832721,2984618,61818736,43199236,16315993.1,51839083.2,10619668.1,65770.25,2.491.664.219,1.430.057.031,221.784.707,4.817.435.313,336.604.625,1.573.062.734,403925.55,756.357.875,25.687.792,449264928
2023-01-17,9245797,20666884,7628012,7258959,73773888,46594196,8390813.2,55913035.2,10632666.55,65850.75,1.515.445.469,7.354.342.969,5.394.077.734,5.749.081.875,3.630.578.438,8.089.777.266,4.356.694.126,757.283.625,-76.179,410576160
2023-01-24,27121520,39409036,24592220,4438114,48470420,11243728,27051442,13492473.6,31189748,1.931.658.906,2.889.755.313,2.370.992.813,3.297.928.906,377722.25,8.761.014.063,2.608.092.094,1.051.321.688,2.221.407.742,-938.028,368908416
2023-01-31,3740856,16475194,16009993,1018124,43436728,12070807,17610992.3,14484968.4,4301984.4,2.664.325.977,1.208.080.391,1.543.560.469,7.565.602.539,338495.5,9.405.465.625,1.697.916.516,1.128.655.875,3.063.974.874,-38.061.745,431871872
2023-02-07,21651024,22258248,33680192,2385981,75046336,32708044,37048211.2,39249652.8,24898677.6,1.542.037.031,1.632.135.625,3.247.185.625,1.773.004.492,584.824.125,2.548.581.719,3.571.904.188,3.058.298.063,1.773.342.586,12.269.044,389534400
2023-02-14,16769858,35514792,19908104,1085023,64612828,19970420,21898914.4,23964504,19285336.7,1.194.388.906,2.604.201.406,1.919.386.563,8.062.723.633,5.035.174.688,155607.75,2.111.325.219,186729.3,1.373.547.242,-9.636.438,408580352
2023-02-21,15534745,14774483,10109359,14163000,80625968,44450072,11120294.9,53340086.4,17864956.75,110.642.125,1.083.371.875,9.746.667.188,1.052.441.797,628305.25,3.463.510.313,1.072.133.391,4.156.212.376,1.272.384.438,-4.964.258,406623808
2023-02-28,18230606,35898780,19876836,2167218,55617044,24991860,21864519.6,29990232,20965196.9,1.298.426.797,2.632.358.125,1.916.371.719,1.610.443.359,433414.75,1.947.343.594,2.108.008.891,2.336.812.313,1.493.190.817,-12.302.068,472384256
2023-03-07,5668140,27731936,9877030,121809,16311717,21977440,10864733,26372928,6518361,4.036.983.203,2.033.506.094,9.522.673.438,9.051.534.424,1.271.146.094,1.712.462.656,1.047.494.078,2.054.955.187,4.642.530.683,-2.679.198,449794272
2023-03-14,24763486,22434736,18069004,9972069,43567912,37923284,19875904.4,45507940.8,28478008.9,1.763.713.906,1.645.077.031,1.742.074.531,741.016.875,3.395.178.125,295.494.875,1.916.281.984,354593.85,2.028.270.992,-26.307.417,432928832
2023-03-21,9359972,12201294,13873178,2561431,49623408,22929280,15260495.8,27515136,10763967.8,6.666.392.969,8.946.871.094,1.337.545.156,1.903.380.078,3.867.073.125,1.786.629.219,1.471.299.672,2.143.955.063,7.666.351.914,-34.835.617,438585984
2023-03-28,22578908,7226893,5800478,48722,31421964,8143456,6380525.8,9772147.2,25965744.2,1.608.123.125,5.299.280.469,5.592.375.391,3.620.494.995,2.448.663.438,6.345.308.984,615.161.293,7.614.370.781,1.849.341.594,17.489.319,467027360
2023-04-04,12125453,33667800,17049650,1275355,40836764,17900456,18754615,21480547.2,13944270.95,8.636.034.375,2.468.766.406,164.379.625,9.477.066.406,318.234.375,1.394.787.656,1.808.175.875,1.673.745.187,9.931.439.531,-100.562.315,428283040
2023-04-11,23476472,30106220,13497813,3208357,51064884,28069188,14847594.3,33683025.6,26997942.8,1.672.049.844,2.207.605.781,1.301.355.391,2.384.105.859,397940.5,218.712.625,143.149.093,262455.15,1.922.857.321,0.058306098,398012032
2023-04-18,3139423,9416203,5291085,648435,31028204,5675478,5820193.5,6810573.6,3610336.45,2.235.971.289,6.904.640.625,5.101.257.422,4.818.471.191,2.417.978.281,4.422.282.422,5.611.383.164,5.306.738.906,2.571.366.982,-41.885.395,365261760
2023-04-25,261414,13335110,11167308,1776485,46015356,23032252,12284038.8,27638702.4,300626.1,1.861.852.295,9.778.267.188,1.076.666.016,1.320.092.578,3.585.903.125,1.794.652.656,1.184.332.618,2.153.583.187,2.141.130.139,-1.865.579,430634144
2023-05-02,15987420,25702904,8677856,5142416,62677404,22571392,9545641.6,27085670.4,18385533,1.138.661.797,1.884.722.813,8.366.521.875,3.821.290.625,488435,1.758.742.969,9.203.174.063,2.110.491.563,1.309.461.067,8.687.311,376971872
2023-05-09,10335173,14542085,16445506,4887745,59098968,38092760,18090056.6,45711312,11885448.95,7.360.954.688,1.066.330.859,1.585.549.375,3.632.046.484,4.605.488.438,2.968.154.063,1.744.104.313,3.561.784.876,8.465.097.891,-23.889.946,364065728
2023-05-16,11757967,33793868,9156129,2538434,46114596,14945495,10071741.9,17934594,13521662.05,8.374.301.563,2.478.010.781,8.827.635.938,1.886.291.016,3.593.636.875,1.164.539.766,9.710.399.532,1.397.447.719,9.630.446.797,2.447.006,432132288
2023-05-23,9131506,12956277,24396034,6527305,37661684,36580364,26835637.4,43896436.8,10501231.9,6.503.674.219,9.500.478.906,2.352.078.125,4.850.391.016,293491.5,2.850.309.688,2.587.285.938,3.420.371.626,7.479.225.352,-9.784.675,437757568
2023-05-30,13549054,16381479,18670744,8177225,79795872,37716636,20537818.4,45259963.2,15581412.1,964.995.625,1.201.208.516,1.800.089.531,6.076.433.984,621836.5,2.938.846.875,1.980.098.484,352.661.625,1.109.744.969,11.431.623,385603808
2023-06-06,23067682,35110408,15490966,1135750,49240748,35038620,17040062.6,42046344,26527834.3,1.642.934.844,2.574.549.063,1.493.519.844,8.439.672.852,3.837.253.125,2.730.178.438,1.642.871.828,3.276.214.126,1.889.375.071,14.894.344,397800192
2023-06-13,38814880,53697236,22293780,9857613,59264192,38538184,24523158,46245820.8,44637112,276448.75,3.937.469.688,214939.5,7.325.117.969,4.618.364.063,300.286.125,236433.45,360343.35,3.179.160.625,6.754.262,396950976
2023-06-20,14910698,32875168,29162608,8319448,56781096,49135528,32078868.8,58962633.6,17147302.7,1.061.975.156,2.410.645.156,2.811.634.688,618.211.875,4.424.860.313,3.828.597.188,3.092.798.157,4.594.316.626,1.221.271.429,1.686.718,397607072
2023-06-27,15563889,45217340,25745696,721718,46559564,15461809,28320265.6,18554170.8,17898472.35,1.108.496.953,3.315.662.188,2.482.202.031,5.363.031.738,362831.25,1.204.770.469,2.730.422.234,1.445.724.563,1.274.771.496,41.837.837,425400896
2023-07-04,16361648,35735320,13759977,10868319,68899240,35447108,15135974.7,42536529.6,18815895.2,1.165.315.234,2.620.372.031,132.663.125,8.076.165.625,536920.75,276200.75,1.459.294.375,331440.9,1.340.112.519,47.728.104,392403392
2023-07-11,27566628,34409972,18146800,11383145,87569920,64681148,19961480,77617377.6,31701622.2,1.963.360.313,2.523.187.969,1.749.575.156,8.458.728.906,6.824.184.375,5.039.897.813,1.924.532.672,6.047.877.376,225.786.436,28.690.653,443204928
2023-07-18,15581458,29681168,18068032,13483464,53943072,41626860,19874835.2,49952232,17918676.7,1.109.748.281,2.176.437.813,1.741.980.781,1.001.946.016,420369.75,3.243.528.125,1.916.178.859,389.223.375,1.276.210.523,12.835.042,403781312
2023-07-25,11704375,28459496,11392810,0,30401612,13904051,12532091,16684861.2,13460031.25,8.336.132.031,2.086.856.094,1.098.407.188,0,2.369.149.063,1.083.391.328,1.208.247.907,1.300.069.594,9.586.551.836,-3.284.193,447967552
2023-08-01,31720460,36186944,19675916,9721447,94848616,34209140,21643507.6,41050968,36478529,2.259.206.094,2.653.488.438,1.897.000.469,7.223.933.594,739.140.125,2.665.545.938,2.086.700.516,3.198.655.126,2.598.087.008,-74.523.063,377395072
2023-08-08,10268011,41009164,13535059,5764583,55230288,38852768,14888564.9,46623321.6,11808212.65,7.313.120.313,3.007.088.438,1.304.946.328,4.283.617.969,4.304.008.125,3.027.373.125,1.435.440.961,363.284.775,841.008.836,25.320.196,422003616
2023-08-15,14043962,29382704,11252551,2386408,55813860,21187476,12377806.1,25424971.2,16150556.3,1.000.244.141,2.154.552.344,1.084.884.531,177.332.168,434948.5,1.650.909.531,1.193.372.984,1.981.091.437,1.150.280.762,42.201.242,409225440
2023-08-22,21475528,43411608,45672720,10555175,75944200,41437324,50239992,49724788.8,24696857.2,1.529.537.813,3.183.253.125,440341.25,7.843.471.094,5.918.210.625,3.228.759.688,484.375.375,3.874.511.626,1.758.968.485,15.328.553,416738176
2023-08-29,31644980,47352720,26982632,20344132,82725360,65852472,29680895.2,79022966.4,36391727,2.253.830.313,3.472.244.063,2.601.458.125,1.511.757.031,644665.5,513.116.625,2.861.603.938,615739.95,259.190.486,28.353.956,399622848
2023-09-05,24129204,46539744,48703788,6542450,97603608,37026736,53574166.8,44432083.2,27748584.6,1.718.538.906,3.412.630.625,469564.5,4.861.644.922,760.609.375,2.885.090.625,516520.95,346.210.875,1.976.319.742,20.905.783,386490464
2023-09-12,22434632,24373540,13626816,20779086,88055864,39106992,14989497.6,46928390.4,25799826.8,159784.75,1.787.244.219,1.313.792.813,1.544.078.125,6.862.053.125,3.047.182.188,1.445.172.094,3.656.618.626,1.837.524.625,0.35257387,370105920
2023-09-19,24172802,20522118,22864920,20949488,72721840,51231768,25151412,61478121.6,27798722.3,1.721.644.063,1.504.830.156,220446,1.556.740.625,5.667.096.875,3.991.934.063,242490.6,4.790.320.876,1.979.890.672,-9.784.926,335679136
2023-09-26,27460474,45262576,13205279,21637396,112089320,32113850,14525806.9,38536620,31579545.1,1.955.799.844,3.318.979.375,1.273.151.563,1.607.858.438,8.734.941.875,2.502.282.813,1.400.466.719,3.002.739.376,2.249.169.821,30.390.652,380405856
2023-10-03,27273944,34972588,38263192,11452044,91997632,43116684,42089511.2,51740020.8,31365035.6,1.942.514.688,2.564.443.125,3.689.042.813,8.509.927.344,716.922.875,3.359.614.063,4.057.947.094,4.031.536.876,2.233.891.891,18.048.717,412070848
2023-10-10,23299156,33638628,25524640,25563208,99622040,81841008,28077104,98209209.6,26794029.4,1.659.420.938,2.466.627.344,2.460.889.688,1.899.582.656,7.763.386.875,637.697.875,2.706.978.657,765237.45,1.908.334.079,9.453.812,379956128
2023-10-17,28026848,28824226,15423225,33069052,98576384,65612968,16965547.5,78735561.6,32230875.2,1.996.138.438,2.113.600.625,148.698.875,245.733.625,7.681.900.625,5.112.504.688,1.635.687.625,6.135.005.626,2.295.559.204,13.282.597,447313408
2023-10-24,20803064,27083966,22671584,11326317,77074256,18821508,24938742.4,22585809.6,23923523.6,1.481.643.438,1.985.992.188,218582,8.416.500.781,600.627.375,1.466.555.156,240440.2,1.759.866.187,1.703.889.954,14.973.526,409688000
2023-10-31,35310164,55171400,40091592,22661820,84490728,31077888,44100751.2,37293465.6,40606688.6,2.514.873.438,4.045.565.938,3.865.323.125,1.683.982.656,6.584.228.125,2.421.561.406,4.251.855.438,2.905.873.687,2.892.104.454,2.567.217,426026016
2023-11-07,28817204,27668232,26028556,15278242,110519664,72360120,28631411.6,86832144,33139784.6,2.052.429.375,2.028.834.844,2.509.473.281,1.135.314.609,861.262.125,563.823.625,2.760.420.609,676588.35,2.360.293.781,-9.599.411,406850144
2023-11-14,37499888,47069352,21208830,15372995,105183936,56036728,23329713,67244073.6,43124871.2,2.670.830.625,3.451.465.313,2.044.792.344,1.142.355.625,819.681.625,4.366.332.188,2.249.271.578,5.239.598.626,3.071.455.219,18.561.913,404766656
2023-11-21,29707180,60260208,26563492,15178092,112404352,51364480,29219841.2,61637376,34163257,2.115.815.625,4.418.714.063,2.561.047.969,1.127.872.578,8.759.491.875,400227.5,2.817.152.766,480273,2.433.187.969,29.734.653,406320128
2023-11-28,14356168,20543024,24923796,3438865,94203904,59201392,27416175.6,71041670.4,16509593.2,1.022.480.234,1.506.362.969,2.402.960.938,2.555.394.727,734116,461292,2.643.257.032,553550.4,1.175.852.269,-36.533.005,416067456
2023-12-05,11644131,36879080,29766376,12904017,88915608,31038640,32743013.6,37246368,13390750.65,82932.25,2.704.240.938,2.869.845.313,9.588.877.344,6.929.051.875,2.418.503.438,3.156.829.844,2.902.204.126,953.720.875,-44.195.733,427729152
2023-12-12,26476820,23706204,27122232,6164537,55153588,36466476,29834455.2,43759771.2,30448343,1.885.741.719,1.738.310.313,2.614.917.188,4.580.821.094,4.298.030.938,2.841.435.625,2.876.408.907,340.972.275,2.168.602.977,18.238.266,403767872
2023-12-19,1606820,19914086,21540446,12790487,63876352,19677440,23694490.6,23612928,1847843,1.144.415.137,1.460.244.688,2.076.764.375,9.504.514.063,4.977.782.188,153.324.875,2.284.440.813,183989.85,1.316.077.408,-12.718.323,394994016
2023-12-26,16836772,31212468,23750856,13449873,50203892,35984060,26125941.6,43180872,19362287.8,1.199.154.688,228.872.375,2.289.875.156,9.994.499.219,3.912.309.063,280.384.625,2.518.862.672,336461.55,1.379.027.891,5.355.007,397143648
2024-01-02,21528778,44125556,26428024,17161676,73894328,48142208,29070826.4,57770649.6,24758094.7,1.533.330.469,323560.5,2.547.987.031,1.275.271.094,5.758.466.875,3.751.198.438,2.802.785.734,4.501.438.126,1.763.330.039,2.638.698,363190592
2024-01-09,31974168,28790482,28130944,14435385,83618336,40788796,30944038.4,48946555.2,36770293.2,2.277.275.781,2.111.126.406,2.712.169.375,1.072.682.578,651.624.375,3.178.226.875,2.983.386.313,381.387.225,2.618.867.148,1.660.049,381769152
2024-01-16,10001521,12179852,13080545,419727,39164720,25147066,14388599.5,30176479.2,11501749.15,7.123.319.531,8.931.148.438,1.261.125.625,3.118.959.473,3.052.044.375,1.959.437.188,1.387.238.188,2.351.324.626,8.191.817.461,-18.035.666,447749888
2024-01-23,5634184,16641846,7261165,8850372,73857840,53414396,7987281.5,64097275.2,6479311.6,4.012.798.828,1.220.300.469,7.000.657.031,6.576.644.531,575.562.375,416200.25,7.700.722.734,499440.3,4.614.718.652,390.638,337790144
2024-01-30,1518626,7036123,7474798,401464,37948680,20421004,8222277.8,24505204.8,1746419.9,1.081.601.367,5.159.394.141,7.206.625.781,2.983.248.535,295728,1.591.186.719,7.927.288.359,1.909.424.063,1.243.841.572,-7.269.691,449254880
2024-02-06,30496452,25073012,22793914,7268616,54162656,18449592,25073305.4,22139510.4,35070919.8,2.172.029.375,1.838.534.531,2.197.614.063,5.401.253.906,4.220.809.375,1.437.575.938,2.417.375.469,1.725.091.126,2.497.833.781,-13.003.206,409951616
2024-02-13,9187952,59517840,26801770,3462390,31769636,31005336,29481947,37206403.2,10566144.8,6.543.876.563,4.364.278.438,2.584.020.625,2.572.875.977,2.475.757.031,2.415.908.281,2.842.422.688,2.899.089.937,7.525.458.047,8.412.398,417502112
